SRR3437043_Aligned.sortedByCoord.out.bam	SRR3437044_Aligned.sortedByCoord.out.bam	SRR3437051_Aligned.sortedByCoord.out.bam	SRR3437052_Aligned.sortedByCoord.out.bam	SRR3437053_Aligned.sortedByCoord.out.bam	SRR3437054_Aligned.sortedByCoord.out.bam	SRR3437056_Aligned.sortedByCoord.out.bam	SRR3437060_Aligned.sortedByCoord.out.bam
COPS5P2	0	0	0	1	0	0	0	0
COPS6	206	136	176	200	194	289	400	190
COPS7A	191	150	94	143	137	208	126	161
COPS7B	137	104	83	78	72	108	75	93
COPS8	104	100	70	103	67	111	86	71
COPS8P1	0	0	0	0	0	0	0	0
COPS8P2	0	0	0	0	0	0	0	0
COPS8P3	0	0	0	0	0	0	0	0
COPS9	58	50	53	105	109	138	220	75
COPZ1	265	246	299	385	315	453	355	314
COPZ2	92	55	19	26	20	15	28	12
COQ10A	45	44	11	30	32	25	22	16
COQ10B	37	37	44	60	38	45	35	25
COQ10BP2	0	0	0	0	0	0	0	0
COQ2	23	13	31	31	22	39	32	21
COQ3	25	17	15	20	13	27	28	7
COQ4	166	173	161	198	231	315	315	199
COQ5	62	61	57	62	90	151	61	72
COQ6	137	124	110	213	520	534	290	307
COQ7	51	59	67	65	70	77	86	107
COQ7-DT	8	6	5	11	3	5	11	3
COQ8A	11	10	22	12	5	8	9	9
COQ8B	74	98	75	89	61	111	106	51
COQ9	175	125	87	141	101	171	131	109
CORIN	23	26	0	10	0	5	13	3
CORO1A	126	151	19	29	43	55	53	19
CORO1A-AS1	17	34	4	4	0	6	4	3
CORO1B	216	184	348	648	264	478	447	453
CORO1C	307	197	95	72	104	141	92	48
CORO1CP1	0	0	0	0	0	0	0	0
CORO2A	64	104	309	190	99	124	82	118
CORO2B	23	14	7	4	1	1	4	1
CORO6	92	32	12	13	8	14	20	4
CORO7	29	16	13	16	23	25	38	27
CORO7-PAM16	0	0	0	0	0	0	0	0
CORT	1	0	0	2	1	2	1	3
COSMOC	9	10	6	11	19	36	15	9
COTL1	132	161	60	159	91	112	176	65
COTL1P1	0	0	0	0	0	0	0	0
COTL1P2	0	0	0	0	0	0	0	0
COX10	28	18	30	25	29	48	27	12
COX10-AS1	34	31	34	24	15	34	32	16
COX11	147	146	173	154	86	132	156	96
COX11P1	0	0	0	0	0	0	0	0
COX14	67	54	48	82	105	144	125	75
COX15	75	73	89	91	82	157	107	66
COX16	71	70	207	166	117	164	172	66
COX17	59	59	69	193	276	389	168	114
COX17P1	0	0	1	2	4	1	3	0
COX18	34	38	68	35	26	47	34	37
COX19	61	45	48	52	40	37	61	12
COX20	186	241	215	280	230	450	266	221
COX20P1	5	4	1	0	2	1	2	0
COX20P2	0	0	0	0	0	0	0	0
COX4I1	483	372	228	592	349	503	914	368
COX4I1P1	0	0	0	0	0	0	0	0
COX4I1P2	0	0	0	0	0	0	0	0
COX4I2	11	3	2	2	12	7	21	3
COX5A	128	75	147	297	197	386	315	228
COX5AP1	0	0	0	0	0	0	0	0
COX5AP2	0	0	0	0	0	0	0	0
COX5B	256	155	140	304	305	513	381	274
COX5BP1	0	0	0	0	0	0	0	0
COX5BP2	0	0	0	0	0	0	0	0
COX5BP3	0	0	0	0	0	0	0	0
COX5BP4	0	0	0	0	0	0	0	0
COX5BP6	0	0	0	4	2	4	5	3
COX5BP7	0	0	0	0	0	0	0	0
COX5BP8	0	0	0	0	0	0	0	0
COX6A1	261	161	202	484	620	1223	425	517
COX6A1P2	37	27	37	85	123	210	71	87
COX6A1P3	0	0	0	0	0	0	0	0
COX6A2	0	0	0	0	0	0	0	0
COX6B1	314	162	206	414	376	575	488	433
COX6B1P1	0	0	0	0	0	0	0	0
COX6B1P2	0	2	0	1	0	0	1	0
COX6B1P3	0	0	0	0	0	0	0	0
COX6B1P4	1	0	0	0	0	0	0	0
COX6B1P5	0	0	0	0	0	0	0	0
COX6B1P6	0	0	0	0	0	0	0	0
COX6B1P7	0	0	0	0	0	0	0	0
COX6B2	1	0	0	1	2	1	1	0
COX6C	329	187	277	404	339	739	446	405
COX6CP1	0	0	0	1	1	1	0	0
COX6CP10	0	0	0	0	0	0	0	0
COX6CP11	0	0	0	0	0	0	0	0
COX6CP12	0	0	0	0	0	0	0	0
COX6CP13	0	0	0	0	0	0	0	0
COX6CP14	0	0	0	0	0	0	0	1
COX6CP15	0	0	0	0	0	0	0	0
COX6CP16	0	0	0	0	0	0	0	0
COX6CP17	0	0	0	0	0	0	0	0
COX6CP18	0	0	0	0	0	0	0	0
COX6CP2	0	0	0	0	0	0	0	0
COX6CP3	0	0	0	0	0	0	0	0
COX6CP4	0	0	0	0	0	0	0	0
COX6CP5	0	0	0	0	0	0	0	0
COX6CP6	0	0	0	0	0	0	0	0
COX6CP7	0	0	0	0	0	0	0	0
COX6CP8	0	0	0	0	0	0	0	0
COX7A1	135	40	11	28	16	8	55	11
COX7A2	143	121	137	340	348	443	471	324
COX7A2L	165	154	219	321	187	239	290	265
COX7A2P1	4	3	1	2	4	4	2	2
COX7A2P2	0	0	0	0	0	0	0	0
COX7B	185	129	153	276	311	949	321	284
COX7B2	0	0	0	0	0	0	0	0
COX7BP2	0	0	0	0	0	0	0	0
COX7C	785	496	488	897	928	1443	1329	915
COX7CP1	2	0	4	3	0	2	2	0
COX8A	191	122	91	200	231	443	259	171
COX8C	0	0	0	0	0	0	1	0
CP	31	64	10	29	23	40	46	20
CPA1	0	0	0	0	0	0	0	0
CPA2	1	0	0	0	0	0	0	0
CPA3	128	77	11	6	4	21	15	7
CPA4	0	4	0	0	0	0	0	0
CPA5	0	0	0	0	0	0	0	0
CPA6	26	26	0	1	0	0	1	1
CPAMD8	126	166	141	14	48	108	190	35
CPB1	0	2	0	9	0	0	7	1
CPB2	0	1	0	0	0	0	0	0
CPB2-AS1	27	66	141	39	30	19	21	8
CPD	115	151	223	163	191	187	205	71
CPDP1	0	0	0	0	0	0	0	0
CPE	525	622	311	1638	334	596	659	281
CPEB1	17	13	0	1	5	2	6	2
CPEB1-AS1	0	1	0	0	0	0	1	1
CPEB2	26	36	40	28	20	21	45	15
CPEB2-DT	0	1	1	0	0	2	4	0
CPEB3	14	20	80	71	27	17	31	6
CPEB4	27	26	42	37	32	32	34	38
CPED1	106	113	30	113	62	602	87	28
CPHL1P	2	1	1	7	0	0	4	9
CPHXL	0	0	0	0	0	0	0	0
CPLANE1	40	50	39	37	25	46	60	93
CPLANE2	8	5	11	5	1	4	7	1
CPLX1	23	14	14	105	61	114	84	41
CPLX2	1	1	0	1	0	1	32	0
CPLX3	0	0	0	0	0	0	0	0
CPLX4	0	0	0	0	0	0	0	0
CPM	38	54	29	15	195	46	65	132
CPN1	0	0	0	0	0	0	0	0
CPN2	0	0	0	0	0	0	0	0
CPNE1	271	220	120	128	170	359	314	253
CPNE2	49	54	56	33	24	36	67	26
CPNE2-DT	0	0	0	0	0	0	0	0
CPNE3	120	172	142	243	150	264	157	247
CPNE4	62	101	526	371	2553	1913	490	453
CPNE5	43	44	2	7	12	4	2	7
CPNE6	15	4	3	4	0	0	0	0
CPNE7	12	13	24	81	11	35	32	25
CPNE8	5	9	8	3	3	7	10	2
CPNE8-AS1	0	0	0	1	0	1	0	0
CPNE9	0	2	0	0	0	0	3	0
CPO	0	2	1	5	3	6	0	2
CPOX	34	49	24	37	26	42	41	35
CPP	0	0	0	0	0	1	0	0
CPPED1	48	57	23	48	29	49	32	15
CPQ	143	119	49	56	65	186	67	56
CPS1	9	7	1	0	0	0	2	1
CPS1-IT1	0	0	0	0	0	0	0	0
CPSF1	276	277	303	250	226	600	335	535
CPSF1P1	0	0	0	0	0	0	0	0
CPSF1P2	0	0	0	0	0	0	0	0
CPSF2	73	79	102	80	73	80	85	51
CPSF3	67	56	52	49	66	95	91	40
CPSF4	65	62	83	59	31	74	95	51
CPSF4L	13	12	6	12	14	25	19	11
CPSF6	129	152	154	110	88	128	169	108
CPSF7	292	350	286	194	316	297	245	275
CPT1A	112	108	100	145	76	52	164	95
CPT1B	16	9	22	13	41	48	40	42
CPT1C	50	10	1	1	7	4	27	4
CPT2	56	57	81	93	59	154	78	56
CPTP	40	31	43	56	43	91	68	54
CPVL	65	61	17	19	16	23	42	8
CPVL-AS1	0	0	0	0	0	0	0	0
CPXCR1	0	0	0	0	0	0	0	0
CPXM1	114	72	8	19	4	12	2	2
CPXM2	122	72	74	36	62	13	139	40
CPZ	2	3	5	2	5	2	3	1
CR1	2	5	0	0	1	1	0	0
CR1L	0	0	0	0	0	0	0	0
CR2	1	1	0	0	1	0	1	1
CRABP1	0	1	0	1	0	1	0	0
CRABP2	86	73	9	16	4	150	43	35
CRACD	13	8	6	7	1	0	11	9
CRACDL	20	15	33	32	19	23	38	13
CRACR2A	34	36	85	8	4	2	7	6
CRACR2B	149	158	432	504	316	215	501	395
CRADD	26	17	18	22	20	64	25	28
CRAMP1	68	109	108	60	75	70	79	72
CRAT	159	116	191	248	57	134	199	285
CRAT37	0	0	0	0	0	0	0	0
CRB1	3	0	0	0	0	0	0	0
CRB2	10	10	14	25	26	46	30	23
CRB3	16	14	23	21	21	31	17	32
CRB3P1	0	0	0	0	0	0	0	0
CRBN	98	116	113	75	79	146	105	120
CRCP	71	61	117	65	45	78	47	54
CRCT1	0	0	0	0	0	0	0	0
CREB1	73	85	90	66	43	72	69	54
CREB3	142	116	94	125	197	168	149	129
CREB3L1	125	110	553	381	413	331	490	314
CREB3L2	177	173	186	212	127	110	147	176
CREB3L2-AS1	0	0	0	1	0	0	0	0
CREB3L3	0	0	0	0	0	0	0	0
CREB3L4	145	191	557	765	344	492	822	480
CREB5	3	10	5	3	8	5	9	5
CREBBP	258	245	266	153	114	176	160	128
CREBL2	134	143	81	108	69	112	120	102
CREBRF	42	79	66	65	27	15	52	26
CREBZF	119	246	207	130	86	152	217	121
CREG1	236	159	147	137	149	252	167	93
CREG2	0	0	0	0	0	0	0	0
CRELD1	80	113	81	67	131	222	90	97
CRELD2	72	83	110	141	203	174	193	208
CREM	48	36	43	65	22	37	33	28
CRH	0	0	0	0	0	0	0	0
CRHBP	13	2	1	1	2	0	0	1
CRHR1	0	0	0	0	0	0	0	0
CRHR2	3	1	1	0	2	0	2	0
CRIM1	222	249	122	37	26	24	99	26
CRIM1-DT	4	4	1	2	6	2	5	1
CRIP1	7	10	5	2	6	4	7	2
CRIP1P1	0	0	0	0	0	0	0	0
CRIP1P2	0	0	0	0	0	0	0	0
CRIP1P3	0	0	0	0	0	0	0	0
CRIP1P4	0	0	0	0	0	0	0	0
CRIP2	219	85	108	91	89	104	417	268
CRIP3	13	13	3	1	0	4	3	6
CRIPT	31	45	43	51	33	40	71	35
CRISP1	0	0	1	0	0	0	0	0
CRISP2	1	2	4	1	0	12	2	0
CRISP3	13	9	546	26	11	367	215	37
CRISPLD1	14	35	8	15	10	21	47	84
CRISPLD2	541	331	119	165	45	61	258	61
CRK	115	123	120	112	128	148	189	61
CRKL	130	133	101	107	85	131	105	114
CRLF1	21	11	28	31	17	30	36	32
CRLF2	0	1	0	0	0	1	0	0
CRLF3	37	59	30	26	16	45	28	12
CRLF3P1	0	0	0	0	0	0	0	0
CRLF3P2	0	0	0	0	0	0	0	0
CRLF3P3	0	0	0	0	0	0	0	0
CRLS1	17	15	26	30	21	27	19	10
CRMP1	71	72	43	47	33	64	49	36
CRNDE	17	34	63	55	83	173	98	121
CRNKL1	57	60	76	88	54	44	56	44
CRNN	0	0	0	0	0	0	0	0
CROCC	179	144	146	138	134	308	282	154
CROCC2	5	0	0	0	0	0	2	1
CROCCP1	0	0	0	0	0	0	0	0
CROCCP2	100	131	58	83	50	111	62	146
CROCCP3	26	36	26	21	21	38	49	16
CROCCP4	1	0	1	0	0	1	1	0
CROCCP5	0	0	0	0	0	0	0	0
CROT	90	135	62	81	66	120	87	57
CRP	0	0	0	0	0	0	0	0
CRPP1	0	0	0	0	0	0	0	0
CRPPA	2	7	9	5	0	4	8	2
CRPPA-AS1	0	0	0	0	0	0	0	0
CRTAC1	20	13	0	1	2	5	5	1
CRTAM	3	14	0	1	1	0	3	1
CRTAP	796	483	344	282	211	339	355	117
CRTC1	70	87	74	73	62	120	109	69
CRTC1P1	0	0	0	0	0	1	0	0
CRTC2	150	115	70	99	88	117	89	95
CRTC3	187	179	99	73	81	60	98	67
CRTC3-AS1	2	6	6	1	3	1	5	4
CRX	0	0	0	0	0	0	0	0
CRY1	24	29	47	28	33	46	45	29
CRY2	177	222	87	119	71	101	104	81
CRYAA	0	0	0	0	0	0	0	0
CRYAA2	7	5	6	5	2	6	12	3
CRYAB	391	187	42	65	57	24	59	24
CRYBA1	0	0	0	0	1	0	0	1
CRYBA2	0	0	2	10	18	14	5	1
CRYBA4	0	0	1	1	0	0	7	0
CRYBB1	1	0	0	0	3	0	0	1
CRYBB2	1	0	1	0	3	4	1	2
CRYBB2P1	34	41	49	56	33	64	57	64
CRYBB3	1	1	1	1	2	3	3	0
CRYBG1	135	165	281	170	204	138	384	168
CRYBG2	4	4	1	0	0	0	1	1
CRYBG3	66	88	80	74	60	60	77	59
CRYGA	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0	0	0
CRYGD	1	3	0	0	0	0	0	0
CRYGEP	0	0	0	0	0	0	0	0
CRYGFP	0	0	0	0	0	0	0	0
CRYGGP	0	0	0	0	0	0	0	0
CRYGN	1	2	1	1	0	1	0	1
CRYGS	11	12	7	6	22	27	10	7
CRYL1	88	78	109	144	87	108	123	134
CRYM	67	101	59	179	110	142	131	58
CRYM-AS1	2	0	1	0	0	0	1	0
CRYZ	79	113	54	53	33	67	47	34
CRYZL1	72	61	30	53	36	44	62	37
CRYZL2P	55	54	35	72	5	6	25	41
CRYZL2P-SEC16B	2	3	2	1	0	0	1	1
CRYZP1	0	0	1	0	0	0	0	0
CRYZP2	0	0	0	0	0	0	0	0
CS	257	228	326	305	267	394	374	292
CSAD	167	201	94	157	158	312	204	253
CSAG1	0	0	0	0	0	0	0	0
CSAG2	4	3	0	0	0	0	0	0
CSAG3	4	3	0	0	0	0	0	0
CSAG4	0	0	0	0	0	0	0	0
CSDC2	82	34	19	48	27	28	52	39
CSDE1	1413	1287	1040	957	514	697	1100	656
CSE1L	96	114	107	147	105	203	97	95
CSE1L-AS1	1	0	0	0	0	0	0	0
CSF1	129	116	31	43	55	92	32	17
CSF1R	123	101	20	20	26	38	72	41
CSF2	0	0	0	0	0	0	0	0
CSF2RA	17	15	2	3	11	4	13	6
CSF2RB	14	18	8	4	7	2	5	4
CSF2RBP1	0	0	0	0	0	0	0	0
CSF3	0	0	3	3	0	0	0	0
CSF3R	81	66	7	9	9	8	10	10
CSGALNACT1	138	177	486	237	390	273	483	106
CSGALNACT2	56	111	65	39	47	33	73	8
CSGALNACT2-DT	1	5	3	2	3	7	6	4
CSGALNACT2P1	0	0	0	0	0	1	0	0
CSGALNACT2P2	0	0	0	0	0	0	0	0
CSH1	0	0	0	0	0	0	0	0
CSH2	0	0	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0	0	0
CSK	118	109	122	118	103	137	162	136
CSKMT	12	16	16	23	31	52	56	35
CSMD1	5	5	0	1	0	0	0	1
CSMD2	1	1	4	3	2	2	1	4
CSMD2-AS1	0	0	0	0	0	0	0	0
CSMD3	0	3	1	2	0	0	2	0
CSN1S1	0	0	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0	0
CSN3	0	0	0	0	0	0	0	0
CSNK1A1	146	118	298	122	88	104	158	100
CSNK1A1L	1	0	1	0	0	1	0	1
CSNK1A1P1	0	0	0	0	0	0	0	0
CSNK1A1P3	0	0	0	0	0	0	0	0
CSNK1D	503	458	1125	491	458	850	463	472
CSNK1E	192	151	221	221	132	324	293	250
CSNK1G1	32	34	48	35	19	32	25	14
CSNK1G2	115	102	147	107	70	115	195	112
CSNK1G2-AS1	0	0	0	2	0	0	0	0
CSNK1G2P1	0	0	0	0	0	0	0	0
CSNK1G3	26	56	39	48	47	51	72	26
CSNK2A1	190	196	260	199	164	255	103	164
CSNK2A2	117	101	58	105	90	149	145	85
CSNK2A3	8	6	14	5	4	2	0	3
CSNK2B	93	88	57	78	118	100	188	96
CSNKA2IP	0	0	0	0	0	0	0	0
CSP1	0	0	0	0	0	0	0	0
CSP2	2	0	0	0	0	1	1	0
CSPG4	183	50	75	41	32	24	42	13
CSPG4BP	0	0	0	0	0	0	0	0
CSPG4P10	61	113	544	175	82	199	296	72
CSPG4P11	12	10	6	0	1	3	0	0
CSPG4P12	92	132	323	140	91	152	263	90
CSPG4P13	0	0	1	0	0	1	0	0
CSPG4P1Y	0	0	0	0	0	0	0	0
CSPG4P2Y	0	0	0	0	0	0	0	0
CSPG4P3Y	0	0	0	0	0	0	0	0
CSPG4P4Y	0	0	0	0	0	0	0	0
CSPG4P5	0	0	0	0	0	0	0	0
CSPG5	0	2	2	5	4	14	3	14
CSPP1	30	38	57	43	38	70	69	53
CSRNP1	33	29	166	295	39	77	25	26
CSRNP2	98	112	60	51	123	145	104	80
CSRNP3	11	7	7	12	1	0	15	0
CSRP1	5966	2244	1260	1437	547	456	829	336
CSRP2	132	188	12	27	46	93	34	210
CSRP3	1	0	0	0	1	0	0	0
CSRP3-AS1	0	0	0	0	0	0	0	0
CST1	0	4	0	4	29	5	415	15
CST11	0	0	0	0	0	0	0	0
CST12P	0	0	0	0	0	0	0	0
CST13P	0	0	0	0	0	0	0	0
CST2	1	0	5	11	201	5	53	20
CST2P1	0	0	0	0	0	0	0	0
CST3	907	590	281	804	752	632	754	342
CST4	0	0	0	1	1	0	31	1
CST5	0	0	0	0	0	0	0	0
CST6	0	0	0	0	3	0	0	0
CST7	14	13	2	3	7	5	2	0
CST8	0	0	0	0	0	0	0	0
CST9	0	0	0	0	0	0	0	0
CST9L	0	0	0	0	0	0	0	0
CST9LP1	0	0	0	0	0	0	0	0
CST9LP2	0	0	0	0	0	0	0	0
CSTA	17	29	1	6	3	5	4	4
CSTB	238	141	70	170	244	305	223	153
CSTF1	55	59	59	73	48	66	65	48
CSTF2	24	25	30	27	19	50	30	31
CSTF2T	67	87	66	47	29	53	57	32
CSTF3	55	49	74	130	70	134	94	81
CSTF3-DT	0	0	0	0	0	0	0	0
CSTL1	0	0	1	0	0	3	1	0
CSTP1	0	0	0	0	0	0	0	0
CSTP2	0	0	0	0	0	0	0	0
CT45A1	0	0	21	0	0	0	0	0
CT45A10	0	0	20	0	0	0	0	0
CT45A11P	0	0	0	0	2	0	0	0
CT45A2	0	0	20	0	0	0	0	0
CT45A3	0	0	28	0	0	0	0	0
CT45A5	0	0	50	0	0	0	0	0
CT45A6	0	0	24	0	0	0	0	0
CT45A7	0	0	24	0	0	0	0	0
CT45A8	0	0	19	0	0	0	0	0
CT45A9	0	0	20	0	0	0	0	0
CT47A1	0	0	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0	0	0
CT47A11	0	0	0	0	0	0	0	0
CT47A12	0	0	0	0	0	0	0	0
CT47A2	0	0	0	0	0	0	0	0
CT47A3	0	0	0	0	0	0	0	0
CT47A4	0	0	0	0	0	0	0	0
CT47A5	0	0	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0	0	0
CT47A8	0	0	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0	0	0
CT47B1	0	0	0	0	0	0	0	0
CT55	0	2	0	0	1	0	1	0
CT62	1	3	1	3	0	0	0	1
CT66	1	0	1	1	1	1	4	0
CT69	1	0	0	0	0	0	0	0
CT70	0	0	0	0	0	0	0	0
CT75	0	3	0	0	1	0	7	2
CT83	0	0	0	0	0	0	0	0
CTAG1A	0	0	0	0	0	600	2	0
CTAG1B	0	0	0	0	0	599	2	0
CTAG2	0	0	0	0	0	221	0	2
CTAGE1	0	0	0	0	0	0	0	0
CTAGE10P	0	0	0	7	0	0	0	0
CTAGE11P	0	0	0	0	0	0	0	1
CTAGE12P	0	0	0	0	0	0	0	0
CTAGE13P	0	0	0	0	0	0	1	0
CTAGE14P	0	0	0	0	0	0	0	1
CTAGE15	13	13	32	13	13	25	17	8
CTAGE16P	0	0	0	0	0	0	0	0
CTAGE3P	0	0	4	3	0	2	3	1
CTAGE4	17	15	67	34	42	76	36	27
CTAGE6	4	15	27	14	11	20	11	4
CTAGE7P	2	2	1	0	1	2	1	1
CTAGE8	17	17	63	28	39	72	39	26
CTAGE9	16	6	31	11	24	45	16	10
CTB-178M22.2	3	5	3	6	0	6	2	5
CTBP1	328	283	251	309	443	899	560	510
CTBP1-AS	171	163	120	210	220	512	220	373
CTBP1-DT	41	35	33	42	44	75	52	62
CTBP2	265	312	466	284	216	258	235	180
CTBP2P1	0	0	0	0	0	0	0	0
CTBP2P10	6	0	1	0	0	0	0	1
CTBP2P2	0	0	0	0	0	0	0	0
CTBP2P3	0	0	0	0	0	0	0	0
CTBP2P4	0	3	3	5	2	4	2	1
CTBP2P5	0	0	0	0	0	0	0	0
CTBP2P6	0	0	0	0	0	0	0	0
CTBP2P7	1	0	1	0	0	0	0	0
CTBP2P8	1	2	1	1	1	0	0	0
CTBP2P9	6	0	1	0	0	0	0	1
CTBS	30	31	31	47	51	38	56	22
CTC-338M12.4	49	64	127	69	62	113	87	75
CTC1	116	137	94	92	88	87	117	45
CTCF	113	122	101	89	52	118	99	87
CTCF-DT	1	1	0	1	3	3	1	0
CTCFL	0	0	0	0	0	0	0	0
CTD-2194D22.4	0	0	1	0	1	0	1	0
CTD-2350J17.1	0	0	0	0	0	0	0	0
CTD-3080P12.3	1	1	0	0	1	1	1	1
CTDNEP1	183	168	115	161	158	214	93	96
CTDP1	38	42	35	46	32	35	39	41
CTDSP1	388	295	225	418	306	337	445	402
CTDSP2	478	426	401	225	148	154	209	156
CTDSPL	196	179	105	63	139	161	138	85
CTDSPL2	42	56	68	51	22	35	59	35
CTDSPL2-DT	48	77	95	60	43	55	49	40
CTDSPL2P1	0	0	0	0	0	0	0	0
CTDSPL2P2	0	0	0	0	0	0	0	0
CTF1	41	31	3	8	6	2	4	4
CTF2P	0	0	0	0	0	0	0	0
CTH	11	7	12	13	11	8	9	6
CTHRC1	8	1	6	11	6	4	22	16
CTHRC1P1	0	0	0	0	0	0	0	0
CTIF	132	97	56	49	48	95	80	30
CTLA4	3	4	3	6	2	0	16	0
CTNNA1	620	534	549	377	353	521	595	462
CTNNA1-AS1	0	0	2	3	0	2	6	3
CTNNA1P1	0	0	0	0	0	0	0	0
CTNNA2	0	0	0	0	1	2	0	0
CTNNA2-AS1	0	0	0	0	0	0	0	0
CTNNA3	3	0	0	0	0	0	0	1
CTNNAL1	75	50	74	46	61	112	90	47
CTNNB1	547	651	547	357	334	499	643	469
CTNNBIP1	111	100	82	94	78	99	118	97
CTNNBL1	103	80	61	73	89	174	182	85
CTNNBL1P1	0	0	0	0	0	0	0	0
CTNND1	60	81	89	51	42	33	60	46
CTNND2	0	8	16	9	8	20	49	36
CTNS	79	77	43	73	63	85	90	32
CTPS1	128	73	95	66	44	75	61	65
CTPS2	62	67	129	76	116	251	83	55
CTR9	112	132	131	74	80	136	103	88
CTRB1	0	0	0	3	1	0	0	0
CTRB2	0	0	0	3	0	0	0	0
CTRC	1	0	0	0	0	0	0	0
CTRL	15	14	4	12	13	38	21	21
CTSA	305	222	155	170	232	290	208	172
CTSB	706	1556	269	434	372	306	478	329
CTSC	81	85	23	26	29	33	97	18
CTSD	310	267	138	441	715	607	261	297
CTSE	2	0	0	1	0	0	0	0
CTSF	206	200	133	207	175	208	263	152
CTSG	14	1	3	0	0	14	4	1
CTSH	560	386	229	259	316	448	320	315
CTSK	211	104	34	78	64	85	97	40
CTSL	293	206	163	158	142	205	263	199
CTSL3P	0	0	0	0	0	0	0	0
CTSLP1	0	0	0	0	0	0	0	0
CTSLP2	0	0	0	0	0	0	1	0
CTSLP3	1	1	0	0	1	2	0	0
CTSLP4	0	0	0	0	0	0	0	0
CTSLP6	0	0	0	0	0	0	0	0
CTSLP8	0	0	0	0	0	0	0	0
CTSO	131	141	171	57	58	51	122	34
CTSS	79	124	22	34	59	17	32	23
CTSV	1	5	1	3	7	6	0	5
CTSW	23	32	2	2	3	3	5	3
CTSZ	582	505	392	500	806	788	681	410
CTTN	493	503	472	502	375	558	574	428
CTTN-DT	14	27	23	18	17	17	20	16
CTTNBP2	24	36	8	5	1	3	6	1
CTTNBP2NL	59	57	51	46	51	87	31	70
CTU1	10	8	5	18	14	26	15	25
CTU2	21	21	15	35	22	41	51	23
CTXN1	14	4	4	12	10	4	38	5
CTXN2	0	1	2	2	4	1	1	0
CTXN2-AS1	1	0	0	0	0	0	0	0
CTXN3	0	1	0	0	0	0	0	0
CTXND1	3	4	1	5	1	2	1	2
CTXND2	0	0	0	0	0	0	0	0
CUBN	11	20	11	7	197	45	12	3
CUBNP1	0	0	0	0	0	0	0	0
CUBNP2	0	0	0	0	1	0	0	0
CUBNP3	0	0	0	0	0	0	0	0
CUEDC1	128	111	65	85	77	56	132	47
CUEDC2	113	93	74	107	109	236	199	104
CUL1	168	134	116	91	63	105	103	84
CUL1P1	0	0	0	0	0	0	0	0
CUL2	58	64	42	50	51	65	54	40
CUL3	131	142	155	116	84	132	145	99
CUL4A	160	191	150	164	105	174	127	137
CUL4AP1	0	0	0	0	0	0	0	0
CUL4B	106	139	131	88	104	362	139	97
CUL5	51	68	79	57	17	32	88	77
CUL7	107	105	127	130	107	166	165	150
CUL9	116	145	98	71	101	168	131	105
CUPIN1P	0	0	0	0	0	0	0	0
CUTA	230	160	118	326	329	435	812	351
CUTALP	44	234	99	26	128	116	164	81
CUTC	28	38	13	36	16	38	18	20
CUX1	231	190	233	294	181	315	383	146
CUX2	56	103	345	261	100	83	59	19
CUX2P1	0	0	0	0	0	0	0	0
CUZD1	0	1	0	0	1	1	0	0
CWC15	125	86	73	142	106	210	168	119
CWC22	35	52	54	25	29	46	44	45
CWC25	90	98	72	72	58	65	102	30
CWC27	69	71	49	36	25	38	80	25
CWF19L1	37	48	16	35	14	45	57	30
CWF19L2	37	58	18	15	38	24	188	29
CWH43	27	62	37	49	60	729	80	266
CX3CL1	179	197	81	80	22	9	65	28
CX3CR1	55	55	6	5	2	2	19	11
CXADR	57	87	171	125	60	59	616	157
CXADRP1	0	0	0	0	0	0	0	0
CXADRP2	0	0	0	5	0	7	0	0
CXADRP3	0	0	0	0	0	0	0	1
CXCL1	7	29	2	8	1	3	0	1
CXCL10	10	57	10	5	37	7	12	6
CXCL11	5	30	5	5	12	2	4	4
CXCL12	320	221	52	315	14	54	65	20
CXCL13	51	110	1	1	3	2	1	0
CXCL14	6	27	82	117	46	10	240	23
CXCL16	69	86	43	57	119	116	58	29
CXCL17	38	41	0	1	1	2	0	0
CXCL1P1	0	0	0	0	0	0	0	0
CXCL2	2	2	9	64	0	1	1	2
CXCL3	0	0	4	24	0	0	0	0
CXCL5	1	0	0	0	0	0	0	0
CXCL6	2	4	0	0	1	1	1	0
CXCL8	0	2	6	30	0	0	4	0
CXCL9	8	130	4	6	48	14	11	3
CXCR1	0	1	0	0	0	0	0	0
CXCR2	6	4	0	0	0	0	0	0
CXCR2P1	1	5	0	0	3	1	0	0
CXCR3	7	18	0	2	2	3	3	2
CXCR4	47	47	43	81	35	15	44	36
CXCR5	58	58	27	41	46	63	36	58
CXCR6	14	17	5	3	7	3	2	0
CXXC1	174	177	151	132	162	429	313	199
CXXC1P1	0	0	0	0	0	0	0	0
CXXC4	3	0	0	7	0	0	11	2
CXXC4-AS1	1	1	0	0	0	0	0	0
CXXC5	56	52	93	94	92	125	66	88
CXXC5-AS1	0	1	1	0	1	1	0	0
CXorf38	35	50	30	25	77	116	28	40
